"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.520,1.19,-0.45,4.45,0.520,0.45,-2.67,-3.78,0.520,0.80,-1.98,-4.87,0.520,1.06,-1.02,-8.19,0.520,1.09,-0.14,-1.69,0.520,0.90,-1.34,-4.18,0.520,0.91,-1.21,-9.29,0.520,0.92,-0.90,-5.72,0.520,0.84,-1.10,-1.06,0.520,1.09,-0.16,-0.88
0.540,1.19,-0.21,6.49,0.540,0.40,-2.75,-3.90,0.540,0.76,-2.06,-4.59,0.540,1.04,-1.14,-6.14,0.540,1.08,-0.20,-3.83,0.540,0.88,-1.43,-4.23,0.540,0.88,-1.38,-6.94,0.540,0.90,-1.13,-5.41,0.540,0.82,-1.12,-2.06,0.540,1.09,-0.14,-2.18
0.560,1.19,-0.05,1.90,0.560,0.34,-2.82,-2.53,0.560,0.72,-2.15,-4.60,0.560,1.02,-1.24,-5.09,0.560,1.08,-0.26,-6.44,0.560,0.85,-1.52,-3.70,0.560,0.86,-1.45,-3.75,0.560,0.87,-1.16,-3.13,0.560,0.80,-1.18,-2.68,0.560,1.08,-0.16,-3.80
0.580,1.19,-0.13,-5.30,0.580,0.28,-2.92,5.15,0.580,0.68,-2.24,-4.17,0.580,0.99,-1.34,-4.50,0.580,1.07,-0.45,-8.64,0.580,0.82,-1.58,-3.40,0.580,0.82,-1.49,-2.77,0.580,0.85,-1.19,-1.58,0.580,0.77,-1.25,-2.27,0.580,1.09,-0.38,-3.78
0.600,1.19,-0.30,-11.34,0.600,0.23,-2.81,19.48,0.600,0.63,-2.34,-3.27,0.600,0.96,-1.42,-4.08,0.600,1.07,-0.66,-9.38,0.600,0.79,-1.63,-3.79,0.600,0.79,-1.54,-3.20,0.600,0.83,-1.22,-1.95,0.600,0.75,-1.29,-1.20,0.600,1.08,-0.38,-3.13
0.620,1.18,-0.60,-13.62,0.620,0.16,-2.15,107.46,0.620,0.58,-2.37,-3.14,0.620,0.93,-1.49,-4.03,0.620,1.05,-0.84,-8.40,0.620,0.75,-1.73,-4.31,0.620,0.77,-1.61,-3.78,0.620,0.80,-1.26,-2.27,0.620,0.72,-1.29,-0.47,0.620,1.05,-0.38,-5.91
0.640,1.17,-0.94,-12.10,0.640,0.13,-1.26,304.77,0.640,0.53,-2.42,-3.97,0.640,0.90,-1.58,-4.26,0.640,1.03,-1.00,-7.43,0.640,0.72,-1.83,-4.03,0.640,0.73,-1.71,-3.48,0.640,0.78,-1.32,-2.15,0.640,0.70,-1.29,-0.45,0.640,1.07,-0.54,-8.53
0.660,1.14,-1.12,-8.69,0.660,0.13,8.42,460.29,0.660,0.49,-2.54,-4.47,0.660,0.87,-1.67,-4.39,0.660,1.01,-1.12,-6.22,0.660,0.68,-1.90,-2.86,0.660,0.70,-1.78,-2.41,0.660,0.75,-1.36,-1.53,0.660,0.67,-1.30,-0.83,0.660,1.04,-0.93,-1.28
0.680,1.12,-1.23,-6.89,0.680,0.11,23.19,343.07,0.680,0.43,-2.64,-3.36,0.680,0.84,-1.76,-4.39,0.680,0.99,-1.27,-4.61,0.680,0.64,-1.94,-1.91,0.680,0.66,-1.79,-1.44,0.680,0.72,-1.38,-1.11,0.680,0.64,-1.32,-1.05,0.680,1.02,-0.85,12.23
0.700,1.10,-1.35,-7.49,0.700,1.19,28.64,-55.12,0.700,0.38,-2.68,-1.85,0.700,0.80,-1.84,-4.41,0.700,0.96,-1.32,-3.29,0.700,0.60,-1.96,-1.66,0.700,0.62,-1.82,-1.23,0.700,0.69,-1.38,-1.64,0.700,0.62,-1.35,-0.95,0.700,1.00,-0.22,17.67
0.720,1.06,-1.54,-7.74,0.720,1.85,19.70,-387.98,0.720,0.32,-2.68,0.15,0.720,0.76,-1.93,-4.28,0.720,0.93,-1.36,-3.23,0.720,0.56,-2.00,-1.74,0.720,0.59,-1.85,-1.28,0.720,0.66,-1.42,-2.86,0.720,0.59,-1.37,-0.68,0.720,1.02,0.22,6.91
0.740,1.03,-1.71,-6.57,0.740,1.83,5.31,-402.60,0.740,0.27,-2.72,4.50,0.740,0.72,-2.02,-4.15,0.740,0.91,-1.43,-4.33,0.740,0.52,-2.04,-1.62,0.740,0.55,-1.88,-0.77,0.740,0.64,-1.51,-3.48,0.740,0.56,-1.38,-0.37,0.740,1.02,0.12,-8.25
0.760,1.00,-1.80,-4.79,0.760,1.84,-0.03,-207.92,0.760,0.22,-2.58,230.34,0.760,0.68,-2.09,-4.24,0.760,0.87,-1.54,-4.84,0.760,0.48,-2.07,-1.41,0.760,0.51,-1.89,-0.38,0.760,0.60,-1.60,-2.57,0.760,0.54,-1.38,-0.26,0.760,1.03,-0.36,-13.81
0.780,0.96,-1.88,-3.85,0.780,1.84,0.06,-43.96,0.780,0.16,-2.24,536.25,0.780,0.64,-2.18,-4.35,0.780,0.84,-1.65,-4.64,0.780,0.44,-2.09,-1.67,0.780,0.47,-1.87,-0.80,0.780,0.57,-1.63,-1.05,0.780,0.51,-1.38,-0.24,0.780,1.01,-0.62,-8.92
0.800,0.92,-1.94,-4.14,0.800,1.84,0.00,-0.18,0.800,0.13,24.48,544.21,0.800,0.60,-2.28,-3.88,0.800,0.81,-1.72,-4.10,0.800,0.40,-2.12,-2.24,0.800,0.44,-1.90,-1.73,0.800,0.54,-1.61,-0.30,0.800,0.48,-1.39,-0.22,0.800,0.99,-0.69,-2.64
0.820,0.88,-2.03,-4.88,0.820,1.83,-7.41E-8,-0.42,0.820,0.09,34.57,5.53,0.820,0.55,-2.35,-2.83,0.820,0.77,-1.81,-3.63,0.820,0.35,-2.19,-2.49,0.820,0.40,-1.96,-2.07,0.820,0.51,-1.62,-0.52,0.820,0.45,-1.39,-0.19,0.820,0.98,-0.62,-1.18
0.840,0.84,-2.15,-5.48,0.840,1.84,-3.83E-4,0.04,0.840,3.22,25.91,-640.62,0.840,0.50,-2.39,-2.12,0.840,0.74,-1.88,-3.26,0.840,0.31,-2.24,-2.20,0.840,0.36,-2.00,-1.40,0.840,0.48,-1.64,-0.90,0.840,0.42,-1.39,0.13,0.840,0.97,-0.68,-1.91
0.860,0.80,-2.26,-5.30,0.860,1.84,0.00,0.02,0.860,1.21,-3.01,-605.26,0.860,0.45,-2.42,-2.12,0.860,0.70,-1.93,-3.06,0.860,0.26,-2.27,1.67,0.860,0.32,-2.02,-0.61,0.860,0.44,-1.66,-0.98,0.860,0.40,-1.40,0.46,0.860,0.95,-0.77,-1.96
0.880,0.75,-2.37,-4.66,0.880,1.84,-3.82E-4,0.00,0.880,2.11,-14.81,-120.31,0.880,0.41,-2.47,-2.31,0.880,0.66,-1.99,-3.24,0.880,0.22,-2.30,11.98,0.880,0.28,-2.01,0.42,0.880,0.41,-1.68,-1.01,0.880,0.37,-1.37,0.06,0.880,0.94,-0.77,-1.07
